Display Name
Shree Balaji Herbo Labs
BHASKAR HERBACEUTICALS PVT. LTD.
Jiwan Ayurved Bhawan
Jainsons Herbo Labs Pvt Ltd
Zeal Herbs India
HIYA INDIA BIOTECH PVT LTD (C)
PERFECT HERBALS AND OILS
SSD SOAP INDUSTRIES
WINGS BIOTECH LLP
Divas Biotech
divas
VANAVEDA LIFESTYLE PRIVATE LTD.
DELTAS PHARMA INDIA PRIVATE LIMITED
MAXCURE NUTRAVEDICS LIMITED
Zenvista Meditech
HARE KRISHNA EXPORTS
DIVISA HERBAL CARE (SBS BIOTECH)
MAHARISHI AYURVEDA PRODUCTS PVT. LTD.
AKUMS DRUGS & PHARMACEAUTICALS LTD (PLANT 2-LIQUID)
Nemus Pharmaceuticals Pvt. Ltd.
Shukti Food and Pharma
LABORATE PHARMACEUTICALS INDIA LIMITED
GOODNESS OF NATURE
PURE & CURE HEALTHCARE PVT LTD.
Siddhayu Ayurvedic Research Foundation P.Ltd
SP PHARMACEAUTICALS
Vee Excel Drugs & Pharmaceuticals (P) Ltd.
SAI SAMARTHA COSMETICS PVT. LTD.
PRITAM INTERNATIONAL PVT LTD
MANRAJ LIFE SCIENCE
OJB HERBALS PVT LTD
SRI CURE HERBS
GLORIOUS LIFESCIENCES
OXITA HEALTHCARE
LYRA LABORATORIES PRIVATE LIMITED
TUSHAR REMEDIES
PATANAJALI AYURVED LTD. - BADDI
SHIVAYUR HEALTH CARE (P) LTD
RUMY HEALTHCARE
Zee Laboratories Limited
YL PHARMA
HANS HERBALS PVT. LTD
Vedova Herbals
SRS INDUSTRIES
ONUS ZENKA
PATANAJALI - HARIDWAR
MANKIND PHARMA LTD.
SOHAM PHARMACEAUTICALS
Richfeel Health & Beauty Pvt.Ltd.
SECURE LIFE PHARMACEUTICALS
RUBICON FORMULATIONS PVT. LTD
EMAMI LTD- ABHOYPUR
PROVEDA HERBALS
ALTIS LIFE SCIENCES
VISTTA COSMETICS
MIRCHI RESTAURANTS PRIVATE LIMITED
Medilife Impex Pvt. Ltd.
International Herbal Corporation Pvt. Ltd.
BACFO Pharmaceuticals (India) Limited
LEEFORD HEALTHCARE LTD
AETHON INTERNATIONAL LLP
SHAHNAZ AYURVEDICS (ROORKEE)
AQUA PARENTAL
Manchanda Herbal Products - LEEFORD
"Emami Limited, Pacharia , Guwahati"
AKUMS DRUGS & PHARMACEUTICALS LTD( PLANT 5 - COSMETIC)
Ayurvet Limited - Oil
SAIFE VETMED PRIVATE LIMITED
MAHESHWARI AYURVED PRIVATE LIMITED
AYURPRAKASH HERBAL PVT. LTD
Indo Herbals Products
KAALINGA PHARMACEUTICALS
AKUMS DRUGS & PHARMACEUTICALS LTD (PLANT-1-SOLID ORAL)
Rusi Pharma Pvt. Ltd.
BIOSRUM LABORATORIES PVT LTD
Sriveda Sattva Private Limited Karnataka
THE COSMETICS
SHIVANI LIFE SCIENCES
R.R. COSMETICS
SOUNDARYA & PRASADHAN INDIA PVT. LTD
Super India Udyog
Patanjali Ayurved Ltd-Sonitpur
HIMALAYAN ENTERPRISES
ARELA HERBALS
OZONE AYURVEDICS (UNIT II)
Tansukh Herbals Pvt Ltd
Advaith Bioremedies
